polarity,median_abs_classic,median_abs_tilted,median_abs_curved,median_abs_tilted_minus_classic,median_abs_curved_minus_tilted,median_abs_curvature_sensitivity_upper
anticyclonic,0.00022967881550694998,8.570976651906472e-05,8.570976651906472e-05,0.00013798470779253466,0.0,3.1045717404383795e-05
cyclonic,0.000312226722746,0.00014972987008675,0.00014972987008675,0.00020511065988404974,0.0,1.39058114508171e-05
