polarity,rows,core_rows,finite_divF_tilted_fraction,finite_pv_flux_fraction,median_axis_tilt_km,median_abs_tilt_correction_over_ordinary,divF_pv_flux_corr_core,median_abs_curved_minus_tilted_over_tilted,median_abs_curvature_sensitivity_upper_over_tilted,median_curvature_radius_product
anticyclonic,2160.0,1296.0,1.0,1.0,15.014882552439296,0.6156095616566193,0.999008245213722,0.0,0.3622191340059033,6.695059283478484
cyclonic,2160.0,1296.0,1.0,1.0,10.583884806145939,0.45715366456788986,0.9981543067712174,0.0,0.09287266089762693,6.125013504286459
