polarity,tau,depth_m,radius_m,radius_over_R,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,metric_valid_fraction,metric_invalid_or_large_curvature
anticyclonic,0.5,1.5558552742004395,153658.55078617577,1.8437499999999998,-0.15616306316448095,-0.15616306316448111,-1.6653345369377348e-16,-1.6770455781953036e-05,-0.15617983362026305,-0.15616306316448095,-9.136835737140962e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,158867.31521960546,1.90625,-0.16818970128532312,-0.16818970128532343,-3.0531133177191805e-16,-1.544009318108916e-05,-0.1682051413785045,-0.16818970128532312,-8.412031073930237e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,164076.07965303515,1.96875,-0.17795748873238246,-0.17795748873238265,-1.942890293094024e-16,-1.3364488971264757e-05,-0.17797085322135392,-0.17795748873238246,-7.281205831786739e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,169284.84408646484,2.03125,-0.18636040296944706,-0.18636040296944723,-1.6653345369377348e-16,-9.49202782902502e-06,-0.18636989499727624,-0.18636040296944706,-5.171421708138714e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,174493.60851989454,2.09375,-0.19376088047628381,-0.19376088047628406,-2.498001805406602e-16,-5.76085566665167e-06,-0.1937666413319507,-0.19376088047628381,-3.138614275958824e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,179702.37295332423,2.15625,-0.20104468816565083,-0.20104468816565105,-2.220446049250313e-16,2.660990009479011e-07,-0.2010444220666501,-0.20104468816565083,1.4497535982860134e-07,0.0,True
anticyclonic,0.5,1.5558552742004395,184911.1373867539,2.21875,-0.20533711893357626,-0.2053371189335767,-4.440892098500626e-16,7.068865800905024e-06,-0.2053300500677758,-0.20533711893357626,3.851240926932099e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,190119.9018201836,2.28125,-0.20921104262580653,-0.2092110426258069,-3.608224830031759e-16,1.3937230595449012e-05,-0.20919710539521144,-0.20921104262580653,7.593245421409951e-06,0.0,True
anticyclonic,0.5,1.5558552742004395,195328.66625361328,2.34375,-0.21201096917024362,-0.21201096917024403,-4.163336342344337e-16,2.1309346132225738e-05,-0.2119896598241118,-0.21201096917024362,1.1609702074140794e-05,0.0,True
anticyclonic,0.5,1.5558552742004395,200537.43068704297,2.40625,-0.21502642441698674,-0.21502642441698722,-4.718447854656915e-16,2.842919798907255e-05,-0.21499799521899815,-0.21502642441698674,1.5488721090355722e-05,0.0,True
anticyclonic,0.5,1.5558552742004395,205746.19512047266,2.46875,-0.21944197963287138,-0.21944197963287174,-3.608224830031759e-16,3.522950423562301e-05,-0.2194067501286361,-0.21944197963287138,1.9193646105205217e-05,0.0,True
anticyclonic,0.5,2.6676816940307617,2604.3822167148437,0.03125,2.3033274324653947e-06,2.3033274324653947e-06,0.0,2.832933656778725e-07,2.5866207981432674e-06,2.3033274324653947e-06,4.176336657510439e-08,1.0,False
anticyclonic,0.5,2.6676816940307617,7813.146650144531,0.09375,0.0091349770808908,0.0091349770808908,0.0,1.133766816760301e-06,0.00913611084770756,0.0091349770808908,1.671409390959418e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,13021.911083574218,0.15625,0.018339723310807424,0.018339723310807424,0.0,2.731494367296489e-06,0.01834245480517472,0.018339723310807424,4.0267939309581364e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,18230.675517003907,0.21875,0.02766959321254937,0.027669593212549377,6.938893903907228e-18,4.535283433801916e-06,0.027674128495983177,0.02766959321254937,6.685956238849611e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,23439.439950433592,0.28125,0.036982344849221006,0.03698234484922102,1.3877787807814457e-17,6.638093219588729e-06,0.03698898294244061,0.036982344849221006,9.785937620742978e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,28648.20438386328,0.34375,0.04600984953955078,0.0460098495395508,2.0816681711721685e-17,9.692559869908518e-06,0.046019542099420704,0.04600984953955078,1.428886023961532e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,33856.96881729297,0.40625,0.054416312906896774,0.0544163129068968,2.7755575615628914e-17,1.3632580522903617e-05,0.05442994548741971,0.054416312906896774,2.00972746530902e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,39065.73325072265,0.46874999999999994,0.06177300327995043,0.06177300327995046,2.7755575615628914e-17,1.7653863618012337e-05,0.06179065714356847,0.06177300327995043,2.6025486900540427e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,44274.497684152346,0.53125,0.0678360573575217,0.06783605735752173,2.7755575615628914e-17,2.0293738758890308e-05,0.06785635109628062,0.0678360573575217,2.991721493155811e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,49483.26211758203,0.59375,0.07205812437235314,0.07205812437235319,5.551115123125783e-17,2.2501422158573785e-05,0.07208062579451177,0.07205812437235314,3.3171801952406065e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,54692.02655101172,0.65625,0.07426801423123415,0.07426801423123419,4.163336342344337e-17,2.563850138007327e-05,0.07429365273261426,0.07426801423123415,3.779651277784773e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,59900.7909844414,0.71875,0.07477417217700534,0.0747741721770054,5.551115123125783e-17,3.0329466849245613e-05,0.07480450164385465,0.07477417217700534,4.471197689439775e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,65109.555417871095,0.78125,0.07353593963286176,0.0735359396328618,4.163336342344337e-17,3.525712250000483e-05,0.0735711967553618,0.07353593963286176,5.197637183729055e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,70318.31985130078,0.84375,0.06971340894108778,0.06971340894108784,5.551115123125783e-17,3.9647688340734084e-05,0.06975305662942857,0.06971340894108778,5.8448984079365e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,75527.08428473047,0.9062500000000001,0.06273223933723981,0.0627322393372399,8.326672684688674e-17,4.5554550255438895e-05,0.06277779388749534,0.06273223933723981,6.7156933835338e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,80735.84871816015,0.96875,0.053223354899166624,0.05322335489916666,3.469446951953614e-17,5.2195660992142386e-05,0.0532755505601588,0.053223354899166624,7.694731990735725e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,85944.61315158985,1.03125,0.04182743827893757,0.0418274382789376,2.7755575615628914e-17,5.959864802612644e-05,0.041887036926963724,0.04182743827893757,8.786087097168313e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,91153.37758501952,1.09375,0.028217659927191475,0.028217659927191486,1.0408340855860843e-17,6.67911538828544e-05,0.02828445108107434,0.028217659927191475,9.846412876310191e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,96362.14201844922,1.15625,0.007876645282575456,0.007876645282575458,1.734723475976807e-18,7.202597149451979e-05,0.007948671254069978,0.007876645282575456,1.061813446727179e-05,0.0,True
anticyclonic,0.5,2.6676816940307617,101570.90645187891,1.21875,-0.009049664223350252,-0.009049664223350264,-1.214306433183765e-17,6.642900870566666e-05,-0.008983235214644598,-0.009049664223350252,9.793025103701723e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,106779.67088530859,1.28125,-0.023312572524837465,-0.02331257252483749,-2.42861286636753e-17,5.799027342736025e-05,-0.023254582251410128,-0.023312572524837465,8.54897904559912e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,111988.43531873828,1.34375,-0.037220920274694425,-0.03722092027469448,-5.551115123125783e-17,4.752963327898508e-05,-0.0371733906414155,-0.037220920274694425,7.006861925837111e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,117197.19975216797,1.40625,-0.05107781728084562,-0.051077817280845685,-6.245004513516506e-17,3.323381405952613e-05,-0.051044583466786156,-0.05107781728084562,4.899359206438553e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,122405.96418559765,1.46875,-0.06537128560753433,-0.06537128560753441,-8.326672684688674e-17,1.8645651891086554e-05,-0.06535263995564333,-0.06537128560753433,2.7487590226334032e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,127614.72861902734,1.53125,-0.08029329899050967,-0.08029329899050976,-8.326672684688674e-17,2.986701006467801e-06,-0.08029031228950329,-0.08029329899050967,4.4030218881010235e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,132823.49305245702,1.59375,-0.09505387516727765,-0.09505387516727778,-1.3877787807814457e-16,-1.180995001517264e-05,-0.09506568511729296,-0.09505387516727765,-1.7410336120548245e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,138032.25748588672,1.65625,-0.1097364430553343,-0.10973644305533452,-2.220446049250313e-16,-2.248670675851134e-05,-0.10975892976209303,-0.1097364430553343,-3.3150108375303166e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,143241.0219193164,1.71875,-0.1229757502069366,-0.12297575020693677,-1.6653345369377348e-16,-3.1407368345416606e-05,-0.12300715757528219,-0.1229757502069366,-4.630102911977286e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,148449.7863527461,1.7812500000000002,-0.1350357770651973,-0.1350357770651974,-1.1102230246251565e-16,-4.0727419894394724e-05,-0.1350765044850918,-0.1350357770651973,-6.0040734192197196e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,153658.55078617577,1.8437499999999998,-0.14643619277000047,-0.1464361927700006,-1.3877787807814457e-16,-4.536579729046277e-05,-0.1464815585672911,-0.14643619277000047,-6.687867249132194e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,158867.31521960546,1.90625,-0.15697653807499215,-0.1569765380749925,-3.608224830031759e-16,-4.10706765561319e-05,-0.15701760875154863,-0.15697653807499215,-6.054676629637915e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,164076.07965303515,1.96875,-0.165494800624444,-0.16549480062444413,-1.3877787807814457e-16,-3.38870329373556e-05,-0.1655286876573815,-0.165494800624444,-4.995657329704843e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,169284.84408646484,2.03125,-0.17284227293473428,-0.1728422729347345,-2.220446049250313e-16,-1.9856223952646268e-05,-0.17286212915868715,-0.17284227293473428,-2.9272226610300265e-06,0.0,True
anticyclonic,0.5,2.6676816940307617,174493.60851989454,2.09375,-0.17874755715588855,-0.17874755715588886,-3.0531133177191805e-16,-5.715754213558351e-06,-0.17875327291010243,-0.17874755715588855,-8.426217038399216e-07,0.0,True
anticyclonic,0.5,2.6676816940307617,179702.37295332423,2.15625,-0.1840145909401556,-0.18401459094015576,-1.6653345369377348e-16,1.6614082132309736e-05,-0.18399797685802347,-0.1840145909401556,2.449263154257973e-06,0.0,True
