polarity,rows,core_rows,finite_divF_tilted_fraction,finite_pv_flux_fraction,median_axis_tilt_km,median_abs_tilt_correction_over_ordinary,divF_pv_flux_corr_core,median_abs_curved_minus_tilted_over_tilted,median_abs_curved_total_minus_tilted_over_tilted,median_abs_jacobian_correction_over_tilted,median_abs_christoffel_over_tilted,median_abs_scale_upper_bound_over_tilted,median_epsilon_tilt,median_epsilon_curvature,p90_epsilon_curvature,metric_valid_fraction_core,jacobian_min_core,jacobian_max_core
anticyclonic,2160.0,1296.0,1.0,1.0,15.014882552439296,0.589473314342265,0.9990082452137224,0.0,0.7547078539268105,1.5416812475189715e-15,0.7547078539268283,0.362219134005905,42.55251859939092,18.571482312240907,110.9950803279882,0.07716049382716049,-527.6187871300563,529.6187871300563
cyclonic,2160.0,1296.0,1.0,1.0,10.583884806145939,0.4307132248695103,0.998154306771217,0.0,0.1777005317884809,1.4482109306005308e-15,0.17770053178848075,0.09287266089762698,42.691721007842524,10.927002413928795,69.72525109953412,0.09722222222222222,-555.865130146615,557.865130146615
