polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,curved_tube_mode,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,epsilon_tilt,epsilon_curvature,jacobian_mean,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.00023674686735261624,-0.04057084274463441,-1.217277256537288e-34,-0.04057084274463441,0.01212870860905585,6.877122153026902e-07,6.877122153026902e-07,0.0,1.0560161204217613e-09,6.88768231423112e-07,6.877122153026902e-07,6.466336454682486e-09,1673.5436887849967,0.011616920786936206,1.0,0.9883875927738545,1.0116124072261454,1.0,False,-6.550966158471021e-10
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.0012729592649521361,-0.09305238266294796,-0.03155825397318189,-0.06149412868976609,0.02558680053797706,0.007511821420922612,0.007511821420922612,0.0,5.6780709263937666e-09,0.007511827098993539,0.007511821420922612,3.476870884219899e-08,1673.5436887849967,0.03485076236080862,1.0,0.9651627783215636,1.0348372216784363,1.0,False,7.64190479344398e-06
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.0041390747077531,-0.16584992161541676,-0.063471292964475,-0.10237862865094174,0.04552950298913923,0.015268878029324704,0.015268878029324704,0.0,1.8462460195965765e-08,0.0152688964917849,0.015268878029324704,1.1305175849078602e-07,1673.5436887849967,0.058084603934681026,1.0,0.9419379638692726,1.0580620361307274,1.0,False,1.544547244692544e-05
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.008686130955417011,-0.23925711528406524,-0.0959942906169238,-0.14326282466714144,0.06625445969352098,0.023360636588964992,0.023360636588964992,0.0,3.8744733628736124e-08,0.02336067533369862,0.023360636588964992,2.3724683614715775e-07,1673.5436887849967,0.08131844550855345,1.0,0.9187131494169818,1.0812868505830184,1.0,False,2.345674045653556e-05
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.014527284404781744,-0.3112841747130982,-0.12841446726757236,-0.18286970744552591,0.08661082668335333,0.03133974747203647,0.03133974747203647,0.0,6.479936435463734e-08,0.03133981227140082,0.03133974747203647,3.9678796929661875e-07,1673.5436887849967,0.10455228708242585,1.0,0.8954883349646908,1.104511665035309,1.0,False,3.142115735915317e-05
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.02195265468734848,-0.3789625163528324,-0.15976958973232522,-0.21919292662050713,0.10578258156008442,0.0390588270973954,0.0390588270973954,0.0,9.792043922323161e-08,0.039058925017834624,0.0390588270973954,5.995992803166826e-07,1673.5436887849967,0.12778612865629826,1.0,0.8722635205124,1.1277364794876001,1.0,False,3.913071163112943e-05
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.027818667636450592,-0.43914929424638666,-0.18874280910087993,-0.2504064851455067,0.1229234385820221,0.04620755712434211,0.04620755712434211,0.0,1.2408595645319454e-07,0.046207681210298564,0.04620755712434211,7.598194082557878e-07,1673.5436887849967,0.1510199702301707,1.0,0.8490387060601089,1.150961293939891,1.0,False,4.627259120062052e-05
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.030885281810451408,-0.48928989482647195,-0.2141088641318967,-0.2751810306945753,0.13814077736688038,0.052674366093020994,0.052674366093020994,0.0,1.3776467600319978e-07,0.052674503857696994,0.052674366093020994,8.43578738410947e-07,1673.5436887849967,0.1742538118040431,1.0,0.825813891607818,1.174186108392182,1.0,False,5.252708445332161e-05
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.03073615329596756,-0.5280627662112322,-0.23515253410620193,-0.29291023210503037,0.1509601434632747,0.05819581217774435,0.058195812177744374,2.7755575615628914e-17,1.3709948403225415e-07,0.058195949277228404,0.05819581217774435,8.395055476632813e-07,1673.5436887849967,0.19748765337791552,1.0,0.8025890771555271,1.197410922844473,1.0,False,5.775061468818259e-05
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.028816263372281763,-0.5499540733482701,-0.24935060485617908,-0.300603468492091,0.15850474398544606,0.06167311496891838,0.06167311496891838,0.0,1.2853576054345375e-07,0.06167324350467892,0.06167311496891838,7.870670324620796e-07,1673.5436887849967,0.22072149495178792,1.0,0.7793642627032362,1.2206357372967638,1.0,False,6.135774060186121e-05
