polarity,rows,core_rows,finite_divF_tilted_fraction,finite_pv_flux_fraction,median_axis_tilt_km,median_abs_tilt_correction_over_ordinary,divF_pv_flux_corr_core,median_abs_curved_minus_tilted_over_tilted,median_abs_curved_total_minus_tilted_over_tilted,median_abs_jacobian_correction_over_tilted,median_abs_christoffel_over_tilted,median_abs_scale_upper_bound_over_tilted,median_epsilon_tilt,median_epsilon_curvature,p90_epsilon_curvature,metric_valid_fraction_core,jacobian_min_core,jacobian_max_core
anticyclonic,2160.0,1296.0,1.0,1.0,15.014882552439296,0.6156095616566193,0.999008245213722,0.0,0.7547078539267917,1.5416812475189642e-15,0.7547078539268246,0.3622191340059033,42.55251859939092,18.571482312240907,110.9950803279882,0.07716049382716049,-527.6187871300563,529.6187871300563
cyclonic,2160.0,1296.0,1.0,1.0,10.583884806145939,0.45715366456788986,0.9981543067712174,0.0,0.17770053178848086,1.4482109306005298e-15,0.1777005317884806,0.09287266089762693,42.691721007842524,10.927002413928795,69.72525109953412,0.09722222222222222,-555.865130146615,557.865130146615
