polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_curved_tube_qg_approx,divF_curvature_sensitivity_upper,curvature_radius_product,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,0.0,0.0,0.0,thermal_wind,0.00023674686735261624,2.434554513074576e-34,0.0,0.0,6.877122153026902e-07,6.877122153026902e-07,6.877122153026902e-07,6.466336454682486e-09,0.07113425346738331,-6.550966158471021e-10
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.0,0.0,0.0,thermal_wind,0.0012729592649521361,-0.07248155231287054,-0.031558253973181905,-0.04092329833968863,0.019502614539663947,0.0075118214209226545,0.0075118214209226545,3.476870884219899e-08,0.21340276040214992,7.64190479344398e-06
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.0,0.0,0.0,thermal_wind,0.0041390747077531,-0.14502707962797048,-0.0634712929644752,-0.08155578666349526,0.039385397511533846,0.015268878029325002,0.015268878029325002,1.1305175849078602e-07,0.3556712673369165,1.544547244692544e-05
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.0,0.0,0.0,thermal_wind,0.008686130955417011,-0.21811396085751988,-0.09599429061692379,-0.12211967024059608,0.05999027879942209,0.023360636588964662,0.023360636588964662,2.3724683614715775e-07,0.4979397742716832,2.345674045653556e-05
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.0,0.0,0.0,thermal_wind,0.014527284404781744,-0.2898580636776135,-0.12841446726757236,-0.16144359641004113,0.08026779233495823,0.031339747472036675,0.031339747472036675,3.9678796929661875e-07,0.6402082812064497,3.142115735915317e-05
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.0,0.0,0.0,thermal_wind,0.02195265468734848,-0.3573692892557638,-0.15976958973232555,-0.19759969952343828,0.09941415853019075,0.03905882709739585,0.03905882709739585,5.995992803166826e-07,0.7824767881412164,3.913071163112943e-05
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.0,0.0,0.0,thermal_wind,0.027818667636450592,-0.4176178352506161,-0.18874280910088012,-0.22887502614973593,0.11659801104709461,0.0462075571243423,0.0462075571243423,7.598194082557878e-07,0.9247452950759829,4.627259120062052e-05
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.0,0.0,0.0,thermal_wind,0.030885281810451408,-0.46812628092881386,-0.21410886413189653,-0.2540174167969173,0.13189909351190424,0.05267436609302107,0.05267436609302107,8.43578738410947e-07,1.0670138020107496,5.252708445332161e-05
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.0,0.0,0.0,thermal_wind,0.03073615329596756,-0.507557453711499,-0.2351525341062019,-0.27240491960529706,0.1448539258786687,0.058195812177744215,0.058195812177744215,8.395055476632813e-07,1.2092823089455162,5.775061468818259e-05
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.0,0.0,0.0,thermal_wind,0.028816263372281763,-0.5305000074497909,-0.24935060485617896,-0.281149402593612,0.1526732799707441,0.06167311496891816,0.06167311496891816,7.870670324620796e-07,1.351550815880283,6.135774060186121e-05
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.0,0.0,0.0,thermal_wind,0.0278112031933162,-0.5359048649245509,-0.25621169935543603,-0.27969316556911505,0.15568905877545622,0.06338673691491631,0.06338673691491631,7.596155297365339e-07,1.4938193228150494,6.335433982477869e-05
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.0,0.0,0.0,thermal_wind,0.027564378901689897,-0.5265062777210475,-0.25660288991303115,-0.26990338780801637,0.15476545280791393,0.06362924978921249,0.06362924978921249,7.52873945644242e-07,1.636087829749816,6.393067083535223e-05
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.0,0.0,0.0,thermal_wind,0.02548578866689372,-0.5040949705828036,-0.2508074137866873,-0.2532875567961163,0.15067736348590316,0.062459136720046986,0.062459136720046986,6.961008024136268e-07,1.7783563366845827,6.301086649297704e-05
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.0,0.0,0.0,thermal_wind,0.02422844037297795,-0.4645550079197349,-0.2363451896369433,-0.2282098182827916,0.14262334190153336,0.05935894435538138,0.05935894435538138,6.617584805907547e-07,1.9206248436193494,5.999636147969764e-05
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.0,0.0,0.0,thermal_wind,0.030181522568392977,-0.4005852224182114,-0.20955611502534102,-0.19102910739287032,0.12747863918908736,0.05290054958495006,0.05290054958495006,8.243567563288604e-07,2.062893350554116,5.385631262511264e-05
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.0,0.0,0.0,thermal_wind,0.03774373735977193,-0.3209294541110871,-0.17366454183399976,-0.14726491227708738,0.10837464903258708,0.044274875327392244,0.044274875327392244,1.0309057414556636e-06,2.2051618574888825,4.545030693040805e-05
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.0,0.0,0.0,thermal_wind,0.047332246060251416,-0.22764116794022843,-0.12916275221126816,-0.0984784157289603,0.08328030851189061,0.032389027538179536,0.032389027538179536,1.2927994849686569e-06,2.347430364423649,3.47440543806406e-05
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.0,0.0,0.0,thermal_wind,0.057447040054097356,-0.1203387805009022,-0.0765482556043404,-0.043790524896561794,0.05592784836141668,0.0190559274209636,0.0190559274209636,1.5690678126783231e-06,2.4896988713584154,2.1829031179413703e-05
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,0.0,0.0,0.0,thermal_wind,0.07543945023115331,0.03295139446622712,0.0015242039178821382,0.03142719054834499,0.01734747862488419,-0.00043632271242683676,-0.00043632271242683676,2.0604997760090574e-06,2.6319673782931825,1.9835466565891216e-06
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,0.0,0.0,0.0,thermal_wind,0.05382817061946537,0.1429082759692188,0.06388320547174448,0.07902507049747429,-0.009162004306528082,-0.015007581690911653,-0.015007581690911653,1.4702245730123754e-06,2.774235885227949,-1.3186285917814051e-05
anticyclonic,0.5,0.5057600140571594,106779.67088530859,1.28125,0.0,0.0,0.0,thermal_wind,0.014546248714181262,0.21746586721092814,0.11199225391060379,0.10547361330032431,-0.025996931009837528,-0.025275388889694106,-0.025275388889694106,3.973059470277679e-07,2.9165043921627154,-2.3971320599647332e-05
anticyclonic,0.5,0.5057600140571594,111988.43531873828,1.34375,0.0,0.0,0.0,thermal_wind,-0.03527351071280513,0.2824564108269111,0.15765987254507785,0.1247965382818332,-0.040746312212971154,-0.034902368340896314,-0.034902368340896314,-9.634357183156385e-07,3.058772899097482,-3.372936069926325e-05
anticyclonic,0.5,0.5057600140571594,117197.19975216797,1.40625,0.0,0.0,0.0,thermal_wind,-0.09793511149192008,0.34295014675722035,0.20345334715444646,0.13949679960277392,-0.05516689383137346,-0.044811969341071164,-0.044811969341071164,-2.67493035373673e-06,3.2010414060322487,-4.3232068233891074e-05
anticyclonic,0.5,0.5057600140571594,122405.96418559765,1.46875,0.0,0.0,0.0,thermal_wind,-0.16038975056109986,0.4067053937224761,0.2517617302312643,0.15494366349121183,-0.06950265039519758,-0.05474211153611626,-0.05474211153611626,-4.380772183422133e-06,3.3433099129670154,-5.3227100205915164e-05
anticyclonic,0.5,0.5057600140571594,127614.72861902734,1.53125,0.0,0.0,0.0,thermal_wind,-0.22140716006740016,0.47449831642851475,0.30350390245639164,0.1709944139721231,-0.085060875857759,-0.06560536030075105,-0.06560536030075105,-6.0473585415563424e-06,3.485578419901782,-6.394312748744853e-05
anticyclonic,0.5,0.5057600140571594,132823.49305245702,1.59375,0.0,0.0,0.0,thermal_wind,-0.2776035984326305,0.5400190599691675,0.355125007873513,0.1848940520956547,-0.09879158844879082,-0.07547021503870888,-0.07547021503870888,-7.582268304409391e-06,3.6278469268365483,-7.44935892967434e-05
anticyclonic,0.5,0.5057600140571594,138032.25748588672,1.65625,0.0,0.0,0.0,thermal_wind,-0.3183817209571148,0.6071237182195162,0.40870663255983203,0.19841708565968405,-0.11430822875660912,-0.08670902029994643,-0.08670902029994643,-8.696053095660053e-06,3.770115433771315,-8.57537917364417e-05
anticyclonic,0.5,0.5057600140571594,143241.0219193164,1.71875,0.0,0.0,0.0,thermal_wind,-0.35375637684652184,0.6657608943889681,0.45841050926282056,0.20735038512614756,-0.127596419714287,-0.09699711135899518,-0.09699711135899518,-9.662251421776968e-06,3.912383940706082,-9.609620854408529e-05
anticyclonic,0.5,0.5057600140571594,148449.7863527461,1.7812500000000002,0.0,0.0,0.0,thermal_wind,-0.38160328320813514,0.7210188841090251,0.5067324814316801,0.21428640267734517,-0.14113521694587527,-0.10760571876433556,-0.10760571876433556,-1.0422842122595125e-05,4.054652447640849,-0.00010621004156803057
anticyclonic,0.5,0.5057600140571594,153658.55078617577,1.8437499999999998,0.0,0.0,0.0,thermal_wind,-0.3871269019048484,0.772727307730337,0.5529926719808296,0.2197346357495075,-0.15332007496723232,-0.11723830224823087,-0.11723830224823087,-1.0573710336142061e-05,4.1969209545756145,-0.00011618712864888106
anticyclonic,0.5,0.5057600140571594,158867.31521960546,1.90625,0.0,0.0,0.0,thermal_wind,-0.3628358963191215,0.8199318056763819,0.597530147727047,0.22240165794933475,-0.16456672741892958,-0.12706684411401442,-0.12706684411401442,-9.910242993590356e-06,4.339189461510381,-0.00012600556791280044
anticyclonic,0.5,0.5057600140571594,164076.07965303515,1.96875,0.0,0.0,0.0,thermal_wind,-0.323689295125549,0.8557171977360072,0.6356870039481075,0.22003019378789965,-0.1737924401017201,-0.13571716638492176,-0.13571716638492176,-8.84102042179645e-06,4.481457968445148,-0.0001344926775145543
anticyclonic,0.5,0.5057600140571594,169284.84408646484,2.03125,0.0,0.0,0.0,thermal_wind,-0.25464007008647016,0.8838063909847912,0.6692766986650568,0.21452969231973446,-0.1806401057321773,-0.1431484372251575,-0.1431484372251575,-6.9550587360912305e-06,4.6237264753799145,-0.0001421246821565362
anticyclonic,0.5,0.5057600140571594,174493.60851989454,2.09375,0.0,0.0,0.0,thermal_wind,-0.17602172744784705,0.9035592991579264,0.6986312701754139,0.20492802898251258,-0.1866146656405126,-0.1504537776666934,-0.1504537776666934,-4.8077329416862505e-06,4.765994982314682,-0.00014943867136445733
anticyclonic,0.5,0.5057600140571594,179702.37295332423,2.15625,0.0,0.0,0.0,thermal_wind,-0.07713167590396112,0.9178010654625179,0.7254051605914896,0.19239590487102845,-0.1916395396823313,-0.15762081734880884,-0.15762081734880884,-2.1067200309167125e-06,4.908263489249449,-0.00015658086174880363
anticyclonic,0.5,0.5057600140571594,184911.1373867539,2.21875,0.0,0.0,0.0,thermal_wind,0.02951301016747859,0.9187069170451229,0.7439405934847543,0.1747663235603684,-0.19312502927268285,-0.1624119920554278,-0.1624119920554278,8.060974815313547e-07,5.050531996184215,-0.00016069871971397751
anticyclonic,0.5,0.5057600140571594,190119.9018201836,2.28125,0.0,0.0,0.0,thermal_wind,0.15318547121196438,0.9155403099099574,0.7601614131638456,0.15537889674611158,-0.19459671967749673,-0.16737051431367994,-0.16737051431367994,4.183999593752992e-06,5.192800503118981,-0.00016382095994293792
anticyclonic,0.5,0.5057600140571594,195328.66625361328,2.34375,0.0,0.0,0.0,thermal_wind,0.2838024101180148,0.9009872686526572,0.7714375043534916,0.12954976429916568,-0.19126213654222574,-0.17059010092484353,-0.17059010092484353,7.751578261601816e-06,5.335069010053748,-0.0001668669620596541
anticyclonic,0.5,0.5057600140571594,200537.43068704297,2.40625,0.0,0.0,0.0,thermal_wind,0.4183837167985906,0.8827398737939117,0.781020383528204,0.10171949026570774,-0.1917073250386352,-0.17735672212374143,-0.17735672212374143,1.1427436866358953e-05,5.477337516988515,-0.0001699929380106438
anticyclonic,0.5,0.5057600140571594,205746.19512047266,2.46875,0.0,0.0,0.0,thermal_wind,0.5293690627105272,0.8696704400367108,0.7950162409905973,0.0746541990461135,-0.19076177816584175,-0.18239010540733042,-0.18239010540733042,1.4458812091007604e-05,5.619606023923281,-0.00017498991538207368
anticyclonic,0.5,1.5558552742004395,2604.3822167148437,0.03125,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.0007327807325814865,0.0,0.0,0.0,1.565538312254254e-06,1.565538312254254e-06,1.565538312254254e-06,2.5432959051186883e-08,0.09039149547232705,-1.645621879666853e-09
anticyclonic,0.5,1.5558552742004395,7813.146650144531,0.09375,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.0029624336708743287,-0.0520026366396905,-0.023670813319350757,-0.028331823320339747,0.025558702685179815,0.010319911615888843,0.010319911615888843,1.0281855252631894e-07,0.27117448641698116,9.795104748056236e-06
