polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,curved_tube_mode,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,epsilon_tilt,epsilon_curvature,jacobian_mean,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,0.0,0.0,0.0,thermal_wind,scale_audit,0.00023674686735261624,2.434554513074576e-34,0.0,0.0,6.877122153026902e-07,6.877122153026902e-07,6.877122153026902e-07,0.0,1.0560161204217613e-09,6.88768231423112e-07,6.877122153026902e-07,6.466336454682486e-09,1673.5436887849967,0.011616920786936206,1.0,0.9883875927738545,1.0116124072261454,1.0,False,-6.550966158471021e-10
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.0,0.0,0.0,thermal_wind,scale_audit,0.0012729592649521361,-0.07248155231287054,-0.031558253973181905,-0.04092329833968863,0.019502614539663947,0.0075118214209226545,0.0075118214209226545,0.0,5.6780709263937666e-09,0.007511827098993581,0.0075118214209226545,3.476870884219899e-08,1673.5436887849967,0.03485076236080862,1.0,0.9651627783215636,1.0348372216784363,1.0,False,7.64190479344398e-06
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.0,0.0,0.0,thermal_wind,scale_audit,0.0041390747077531,-0.14502707962797048,-0.0634712929644752,-0.08155578666349526,0.039385397511533846,0.015268878029325002,0.015268878029325002,0.0,1.8462460195965765e-08,0.015268896491785198,0.015268878029325002,1.1305175849078602e-07,1673.5436887849967,0.058084603934681026,1.0,0.9419379638692726,1.0580620361307274,1.0,False,1.544547244692544e-05
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.0,0.0,0.0,thermal_wind,scale_audit,0.008686130955417011,-0.21811396085751988,-0.09599429061692379,-0.12211967024059608,0.05999027879942209,0.023360636588964662,0.023360636588964662,0.0,3.8744733628736124e-08,0.023360675333698292,0.023360636588964662,2.3724683614715775e-07,1673.5436887849967,0.08131844550855345,1.0,0.9187131494169818,1.0812868505830184,1.0,False,2.345674045653556e-05
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.0,0.0,0.0,thermal_wind,scale_audit,0.014527284404781744,-0.2898580636776135,-0.12841446726757236,-0.16144359641004113,0.08026779233495823,0.031339747472036675,0.031339747472036675,0.0,6.479936435463734e-08,0.03133981227140103,0.031339747472036675,3.9678796929661875e-07,1673.5436887849967,0.10455228708242585,1.0,0.8954883349646908,1.104511665035309,1.0,False,3.142115735915317e-05
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.0,0.0,0.0,thermal_wind,scale_audit,0.02195265468734848,-0.3573692892557638,-0.15976958973232555,-0.19759969952343828,0.09941415853019075,0.03905882709739585,0.03905882709739585,0.0,9.792043922323161e-08,0.039058925017835075,0.03905882709739585,5.995992803166826e-07,1673.5436887849967,0.12778612865629826,1.0,0.8722635205124,1.1277364794876001,1.0,False,3.913071163112943e-05
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.0,0.0,0.0,thermal_wind,scale_audit,0.027818667636450592,-0.4176178352506161,-0.18874280910088012,-0.22887502614973593,0.11659801104709461,0.0462075571243423,0.0462075571243423,0.0,1.2408595645319454e-07,0.04620768121029875,0.0462075571243423,7.598194082557878e-07,1673.5436887849967,0.1510199702301707,1.0,0.8490387060601089,1.150961293939891,1.0,False,4.627259120062052e-05
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.0,0.0,0.0,thermal_wind,scale_audit,0.030885281810451408,-0.46812628092881386,-0.21410886413189653,-0.2540174167969173,0.13189909351190424,0.05267436609302107,0.05267436609302107,0.0,1.3776467600319978e-07,0.05267450385769707,0.05267436609302107,8.43578738410947e-07,1673.5436887849967,0.1742538118040431,1.0,0.825813891607818,1.174186108392182,1.0,False,5.252708445332161e-05
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.0,0.0,0.0,thermal_wind,scale_audit,0.03073615329596756,-0.507557453711499,-0.2351525341062019,-0.27240491960529706,0.1448539258786687,0.058195812177744215,0.05819581217774424,2.7755575615628914e-17,1.3709948403225415e-07,0.05819594927722827,0.058195812177744215,8.395055476632813e-07,1673.5436887849967,0.19748765337791552,1.0,0.8025890771555271,1.197410922844473,1.0,False,5.775061468818259e-05
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.0,0.0,0.0,thermal_wind,scale_audit,0.028816263372281763,-0.5305000074497909,-0.24935060485617896,-0.281149402593612,0.1526732799707441,0.06167311496891816,0.06167311496891816,0.0,1.2853576054345375e-07,0.061673243504678704,0.06167311496891816,7.870670324620796e-07,1673.5436887849967,0.22072149495178792,1.0,0.7793642627032362,1.2206357372967638,1.0,False,6.135774060186121e-05
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.0,0.0,0.0,thermal_wind,scale_audit,0.0278112031933162,-0.5359048649245509,-0.25621169935543603,-0.27969316556911505,0.15568905877545622,0.06338673691491631,0.06338673691491635,4.163336342344337e-17,1.2405266109276154e-07,0.06338686096757744,0.06338673691491631,7.596155297365339e-07,1673.5436887849967,0.24395533652566034,1.0,0.7561394482509454,1.2438605517490549,1.0,False,6.335433982477869e-05
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.0,0.0,0.0,thermal_wind,scale_audit,0.027564378901689897,-0.5265062777210475,-0.25660288991303115,-0.26990338780801637,0.15476545280791393,0.06362924978921249,0.06362924978921249,0.0,1.2295169433538164e-07,0.06362937274090683,0.06362924978921249,7.52873945644242e-07,1673.5436887849967,0.26718917809953274,1.0,0.7329146337986544,1.2670853662013455,1.0,False,6.393067083535223e-05
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.0,0.0,0.0,thermal_wind,scale_audit,0.02548578866689372,-0.5040949705828036,-0.2508074137866873,-0.2532875567961163,0.15067736348590316,0.062459136720046986,0.062459136720047014,2.7755575615628914e-17,1.1368008360514675e-07,0.06245925040013062,0.062459136720046986,6.961008024136268e-07,1673.5436887849967,0.29042301967340517,1.0,0.7096898193463633,1.2903101806536366,1.0,False,6.301086649297704e-05
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.0,0.0,0.0,thermal_wind,scale_audit,0.02422844037297795,-0.4645550079197349,-0.2363451896369433,-0.2282098182827916,0.14262334190153336,0.05935894435538138,0.05935894435538141,2.7755575615628914e-17,1.0807164585808155e-07,0.05935905242702727,0.05935894435538138,6.617584805907547e-07,1673.5436887849967,0.3136568612472776,1.0,0.6864650048940725,1.3135349951059276,1.0,False,5.999636147969764e-05
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.0,0.0,0.0,thermal_wind,scale_audit,0.030181522568392977,-0.4005852224182114,-0.20955611502534102,-0.19102910739287032,0.12747863918908736,0.05290054958495006,0.05290054958495006,0.0,1.3462553793214522e-07,0.05290068421048799,0.05290054958495006,8.243567563288604e-07,1673.5436887849967,0.33689070282115,1.0,0.6632401904417815,1.3367598095582185,1.0,False,5.385631262511264e-05
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.0,0.0,0.0,thermal_wind,scale_audit,0.03774373735977193,-0.3209294541110871,-0.17366454183399976,-0.14726491227708738,0.10837464903258708,0.044274875327392244,0.0442748753273923,5.551115123125783e-17,1.683570116157813e-07,0.044275043684403916,0.044274875327392244,1.0309057414556636e-06,1673.5436887849967,0.3601245443950224,1.0,0.6400153759894907,1.3599846240105093,1.0,False,4.545030693040805e-05
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.0,0.0,0.0,thermal_wind,scale_audit,0.047332246060251416,-0.22764116794022843,-0.12916275221126816,-0.0984784157289603,0.08328030851189061,0.032389027538179536,0.032389027538179564,2.7755575615628914e-17,2.111268267847792e-07,0.03238923866500635,0.032389027538179536,1.2927994849686569e-06,1673.5436887849967,0.3833583859688948,1.0,0.6167905615371998,1.3832094384628002,1.0,False,3.47440543806406e-05
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.0,0.0,0.0,thermal_wind,scale_audit,0.057447040054097356,-0.1203387805009022,-0.0765482556043404,-0.043790524896561794,0.05592784836141668,0.0190559274209636,0.019055927420963615,1.3877787807814457e-17,2.562441524401908e-07,0.019056183665116057,0.0190559274209636,1.5690678126783231e-06,1673.5436887849967,0.4065922275427672,1.0,0.5935657470849088,1.4064342529150913,1.0,False,2.1829031179413703e-05
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,0.0,0.0,0.0,thermal_wind,scale_audit,0.07543945023115331,0.03295139446622712,0.0015242039178821382,0.03142719054834499,0.01734747862488419,-0.00043632271242683676,-0.0004363227124268372,-4.336808689942018e-19,3.3649980863821854e-07,-0.000435986212618199,-0.00043632271242683676,2.0604997760090574e-06,1673.5436887849967,0.4298260691166396,1.0,0.5703409326326178,1.4296590673673824,1.0,False,1.9835466565891216e-06
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,0.0,0.0,0.0,thermal_wind,scale_audit,0.05382817061946537,0.1429082759692188,0.06388320547174448,0.07902507049747429,-0.009162004306528082,-0.015007581690911653,-0.015007581690911667,-1.3877787807814457e-17,2.4010208262779067e-07,-0.01500734158882904,-0.015007581690911653,1.4702245730123754e-06,1673.5436887849967,0.45305991069051205,1.0,0.5471161181803268,1.4528838818196732,1.0,False,-1.3186285917814051e-05
