polarity,tau,depth_m,epsilon_tilt_median,epsilon_curvature_median,epsilon_curvature_p90,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature_fraction
anticyclonic,0.5,0.5057600140571594,1673.5436887849967,0.27880609888646896,0.49255744136609514,0.45421686037116327,1.5457831396288368,1.0,0.0
anticyclonic,0.5,1.5558552742004395,1372.634454609835,3.981877196424546,7.034649713683365,-6.79112700612222,8.79112700612222,0.125,0.875
anticyclonic,0.5,2.6676816940307617,787.6181842834678,16.244362172679722,28.698373171734175,-30.811181999964518,32.81118199996452,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,3.8562798500061035,592.8364027204559,8.604578753164654,15.20142246392422,-15.847507610893665,17.847507610893665,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,5.140361309051514,488.69827108547776,10.158580035796863,17.94682472990779,-18.88039530274751,20.88039530274751,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,6.543033599853516,383.3850995005656,17.675160661010857,31.22611716778584,-33.61145448001653,35.61145448001653,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,8.09251880645752,353.1850058433795,35.13824816566364,62.0775717593391,-67.75419790267945,69.75419790267945,0.0,1.0
anticyclonic,0.5,9.822750091552734,211.77877026396723,64.32098883323071,113.6337469387076,-124.87721835079513,126.87721835079513,0.0,1.0
anticyclonic,0.5,11.773679733276367,259.10321761692495,7.435276723484119,13.135655544821944,-13.559915397465858,15.559915397465858,0.08333333333333333,0.9166666666666666
anticyclonic,0.5,13.99103832244873,217.1349047515946,32.09541911939303,56.701907110927685,-61.814778245394024,63.814778245394024,0.0,1.0
anticyclonic,0.5,16.52532196044922,235.634519932237,6.28606993994813,11.105390227241696,-11.30825895253635,13.30825895253635,0.08333333333333333,0.9166666666666666
anticyclonic,0.5,19.42980194091797,221.55109515944926,51.0557593716573,90.19850822326123,-98.89446560814675,100.89446560814676,0.0,1.0
anticyclonic,0.5,22.75761604309082,230.1306330970688,38.67266461305468,68.32170748306328,-74.7300551488957,76.73005514889569,0.0,1.0
anticyclonic,0.5,26.558300018310547,255.14723447677184,19.760161313794733,34.909618321037364,-37.68935046280674,39.68935046280674,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,30.874561309814453,187.06072406877607,11.76356442168672,20.78229714497987,-22.026875906036057,24.02687590603606,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,35.740203857421875,104.0360620772648,42.46442645835634,75.02048674309621,-82.15946498956609,84.15946498956609,0.0,1.0
anticyclonic,0.5,41.180023193359375,40.542635674781096,94.95288571391004,167.75009809457438,-184.92637402697306,186.92637402697306,0.0,1.0
anticyclonic,0.5,47.21189498901367,79.00081398581277,95.92651639206477,169.47017895931444,-186.84838389152105,188.84838389152108,0.0,1.0
anticyclonic,0.5,53.85063552856445,120.40765784752307,28.03182227720512,49.52288602306238,-53.894456095603424,55.894456095603424,0.0,1.0
anticyclonic,0.5,61.11283874511719,28.10499793579307,49.38430731812156,87.24560959534809,-95.69425026575503,97.69425026575503,0.0,1.0
anticyclonic,0.5,69.02168273925781,41.837928351255044,80.14920437319785,141.59692772598288,-155.95264504876266,157.95264504876266,0.0,1.0
anticyclonic,0.5,77.61116027832031,44.94571035230957,34.41159685222304,60.79382110559404,-66.38901452887349,68.38901452887349,0.0,1.0
anticyclonic,0.5,86.92942810058594,38.420522323653245,59.79349546037386,105.63517531332717,-116.00532089936515,118.00532089936515,0.0,1.0
anticyclonic,0.5,97.04131317138672,68.2018313486294,15.911735849507584,28.110733334130064,-30.131900508687423,32.13190050868742,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,108.03028106689453,68.11109441255047,3.093828967158448,5.465764508646591,-5.0572952450917,7.0572952450917,0.16666666666666666,0.8333333333333334
anticyclonic,0.5,120.0,56.55122988913423,1.2648197818456113,2.234514947927247,-1.4751039577021152,3.475103957702115,0.375,0.625
anticyclonic,0.5,133.07582092285156,45.960297445339535,22.328467628641192,39.446959477266105,-42.70914328344064,44.70914328344064,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,147.40625,38.6251070362081,28.881750247326217,51.02442543694298,-55.54493887342694,57.544938873426936,0.0,1.0
anticyclonic,0.5,163.16445922851562,43.26710884752679,34.5996992021629,61.12613525715446,-66.75660586372264,68.75660586372264,0.0,1.0
anticyclonic,0.5,180.5499267578125,46.52996663936578,7.2481999197580675,12.805153191572586,-13.181363871294215,15.181363871294216,0.08333333333333333,0.9166666666666666
anticyclonic,0.5,199.7899627685547,31.719913494195385,26.040725035141072,46.00528089541589,-49.99519395578013,51.99519395578013,0.0,1.0
anticyclonic,0.5,221.14117431640625,26.241650926224715,5.950154517443117,10.51193964748284,-10.651703917541774,12.651703917541774,0.08333333333333333,0.9166666666666666
anticyclonic,0.5,244.890625,7.131243402691764,269.96515586904457,476.9384420353121,-527.6187871300563,529.6187871300563,0.0,1.0
anticyclonic,0.5,271.35638427734375,9.228711373623403,258.46123135925563,456.61484206801833,-504.7176689700338,506.71766897003374,0.0,1.0
anticyclonic,0.5,300.88751220703125,17.60816942163609,32.047816298834455,56.617808794607534,-61.72981118882721,63.72981118882721,0.0,1.0
anticyclonic,0.5,333.8628234863281,19.944676587277662,66.42296869935171,117.34724470218801,-129.0505390212648,131.0505390212648,0.0,1.0
anticyclonic,0.5,370.6884765625,8.607534351614726,168.34716604824723,297.4133266852368,-328.5654325619116,330.5654325619116,0.0,1.0
anticyclonic,0.5,411.7938537597656,12.001232082100156,117.70203595519965,207.9402635208527,-229.46233960070631,231.46233960070631,0.0,1.0
anticyclonic,0.5,457.6256103515625,24.74423663282845,20.184821705377892,35.65985167950094,-38.528595104663154,40.52859510466315,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,508.639892578125,31.165624270661702,4.64794767124788,8.211374219204588,-8.097768765421403,10.097768765421403,0.125,0.875
anticyclonic,0.5,565.2922973632812,36.18197770279666,7.563960206025468,13.362996363978326,-13.79902481937075,15.79902481937075,0.08333333333333333,0.9166666666666666
anticyclonic,0.5,628.0260009765625,36.617929658079085,14.080982235558189,24.876401949486134,-26.575184148597334,28.575184148597334,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,697.2586669921875,15.748309569193978,48.69207893893694,86.02267279212192,-94.32653528361216,96.32653528361216,0.0,1.0
anticyclonic,0.5,773.3682861328125,23.317244310108673,15.084530489154888,26.64933719750697,-28.529470062289477,30.529470062289477,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,856.678955078125,11.548073850904284,45.17197739698819,79.80382673467913,-87.45257588241287,89.45257588241286,0.0,1.0
anticyclonic,0.5,947.4478759765625,5.385091612611827,116.64522223599587,206.07322595025934,-227.37715115680996,229.37715115680996,0.0,1.0
anticyclonic,0.5,1045.854248046875,10.520549791468259,49.29781283291549,87.09280267148404,-95.5402804701803,97.5402804701803,0.0,1.0
anticyclonic,0.5,1151.9912109375,13.03640324289975,29.798159008297965,52.64341424799307,-57.34129640157279,59.341296401572784,0.0,1.0
anticyclonic,0.5,1265.8614501953125,46.771019335967736,0.1835585268918699,0.32428673084230347,0.6407993044271535,1.3592006955728466,1.0,0.0
anticyclonic,0.5,1387.376953125,57.69727487536414,2.3403159336990145,4.134558149534926,-3.580435426235426,5.580435426235427,0.20833333333333334,0.7916666666666666
anticyclonic,0.5,1516.3636474609375,40.29184840492819,2.941776854885002,5.1971391102968365,-4.758211987489569,6.758211987489569,0.16666666666666666,0.8333333333333334
anticyclonic,0.5,1652.5684814453125,37.6862128243281,7.342066811793536,12.970984700835245,-13.368691290690315,15.368691290690316,0.08333333333333333,0.9166666666666666
