polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_curved_tube_qg_approx,divF_curvature_sensitivity_upper,curvature_radius_product,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,2604.3822167148437,0.03125,0.0,0.0,0.0,streamfunction_dz,0.00023674686735261624,-0.04057084274463441,-1.217277256537288e-34,-0.04057084274463441,0.01212870860905585,6.877122153026902e-07,6.877122153026902e-07,6.466336454682486e-09,0.07113425346738331,-6.550966158471021e-10
anticyclonic,0.5,0.5057600140571594,7813.146650144531,0.09375,0.0,0.0,0.0,streamfunction_dz,0.0012729592649521361,-0.09305238266294796,-0.03155825397318189,-0.06149412868976609,0.02558680053797706,0.007511821420922612,0.007511821420922612,3.476870884219899e-08,0.21340276040214992,7.64190479344398e-06
anticyclonic,0.5,0.5057600140571594,13021.911083574218,0.15625,0.0,0.0,0.0,streamfunction_dz,0.0041390747077531,-0.16584992161541676,-0.063471292964475,-0.10237862865094174,0.04552950298913923,0.015268878029324704,0.015268878029324704,1.1305175849078602e-07,0.3556712673369165,1.544547244692544e-05
anticyclonic,0.5,0.5057600140571594,18230.675517003907,0.21875,0.0,0.0,0.0,streamfunction_dz,0.008686130955417011,-0.23925711528406524,-0.0959942906169238,-0.14326282466714144,0.06625445969352098,0.023360636588964992,0.023360636588964992,2.3724683614715775e-07,0.4979397742716832,2.345674045653556e-05
anticyclonic,0.5,0.5057600140571594,23439.439950433592,0.28125,0.0,0.0,0.0,streamfunction_dz,0.014527284404781744,-0.3112841747130982,-0.12841446726757236,-0.18286970744552591,0.08661082668335333,0.03133974747203647,0.03133974747203647,3.9678796929661875e-07,0.6402082812064497,3.142115735915317e-05
anticyclonic,0.5,0.5057600140571594,28648.20438386328,0.34375,0.0,0.0,0.0,streamfunction_dz,0.02195265468734848,-0.3789625163528324,-0.15976958973232522,-0.21919292662050713,0.10578258156008442,0.0390588270973954,0.0390588270973954,5.995992803166826e-07,0.7824767881412164,3.913071163112943e-05
anticyclonic,0.5,0.5057600140571594,33856.96881729297,0.40625,0.0,0.0,0.0,streamfunction_dz,0.027818667636450592,-0.43914929424638666,-0.18874280910087993,-0.2504064851455067,0.1229234385820221,0.04620755712434211,0.04620755712434211,7.598194082557878e-07,0.9247452950759829,4.627259120062052e-05
anticyclonic,0.5,0.5057600140571594,39065.73325072265,0.46874999999999994,0.0,0.0,0.0,streamfunction_dz,0.030885281810451408,-0.48928989482647195,-0.2141088641318967,-0.2751810306945753,0.13814077736688038,0.052674366093020994,0.052674366093020994,8.43578738410947e-07,1.0670138020107496,5.252708445332161e-05
anticyclonic,0.5,0.5057600140571594,44274.497684152346,0.53125,0.0,0.0,0.0,streamfunction_dz,0.03073615329596756,-0.5280627662112322,-0.23515253410620193,-0.29291023210503037,0.1509601434632747,0.05819581217774435,0.05819581217774435,8.395055476632813e-07,1.2092823089455162,5.775061468818259e-05
anticyclonic,0.5,0.5057600140571594,49483.26211758203,0.59375,0.0,0.0,0.0,streamfunction_dz,0.028816263372281763,-0.5499540733482701,-0.24935060485617908,-0.300603468492091,0.15850474398544606,0.06167311496891838,0.06167311496891838,7.870670324620796e-07,1.351550815880283,6.135774060186121e-05
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.0,0.0,0.0,streamfunction_dz,0.0278112031933162,-0.5539824385999333,-0.25621169935543603,-0.29777073924449726,0.16114573305019297,0.06338673691491635,0.06338673691491635,7.596155297365339e-07,1.4938193228150494,6.335433982477869e-05
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.0,0.0,0.0,streamfunction_dz,0.027564378901689897,-0.543022102168445,-0.2566028899130312,-0.28641921225541384,0.15979386560779754,0.06362924978921254,0.06362924978921254,7.52873945644242e-07,1.636087829749816,6.393067083535223e-05
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.0,0.0,0.0,streamfunction_dz,0.02548578866689372,-0.5189260191838927,-0.25080741378668736,-0.2681186053972053,0.15525867437850888,0.0624591367200469,0.0624591367200469,6.961008024136268e-07,1.7783563366845827,6.301086649297704e-05
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.0,0.0,0.0,streamfunction_dz,0.02422844037297795,-0.4774515951519036,-0.2363451896369435,-0.24110640551496013,0.14671328415346008,0.059358944355381436,0.059358944355381436,6.617584805907547e-07,1.9206248436193494,5.999636147969764e-05
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.0,0.0,0.0,streamfunction_dz,0.030181522568392977,-0.41109406288946615,-0.2095561150253412,-0.20153794786412485,0.1309419948558679,0.05290054958495001,0.05290054958495001,8.243567563288604e-07,2.062893350554116,5.385631262511264e-05
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.0,0.0,0.0,streamfunction_dz,0.03774373735977193,-0.3288353638600177,-0.17366454183399982,-0.1551708220260178,0.1111655202985575,0.04427487532739211,0.04427487532739211,1.0309057414556636e-06,2.2051618574888825,4.545030693040805e-05
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.0,0.0,0.0,streamfunction_dz,0.047332246060251416,-0.23277383743929855,-0.12916275221126805,-0.10361108522803046,0.08529615596652952,0.03238902753817922,0.03238902753817922,1.2927994849686569e-06,2.347430364423649,3.47440543806406e-05
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.0,0.0,0.0,streamfunction_dz,0.057447040054097356,-0.12249798624256976,-0.07654825560433996,-0.04594973063822975,0.05716568069325937,0.019055927420963025,0.019055927420963025,1.5690678126783231e-06,2.4896988713584154,2.1829031179413703e-05
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,0.0,0.0,0.0,streamfunction_dz,0.07543945023115331,0.034911971562036896,0.001524203917882441,0.033387767644154444,0.017546461452305654,-0.00043632271242727267,-0.00043632271242727267,2.0604997760090574e-06,2.6319673782931825,1.9835466565891216e-06
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,0.0,0.0,0.0,streamfunction_dz,0.05382817061946537,0.14784128691698742,0.06388320547174452,0.08395808144524289,-0.00967502742446908,-0.015007581690911959,-0.015007581690911959,1.4702245730123754e-06,2.774235885227949,-1.3186285917814051e-05
anticyclonic,0.5,0.5057600140571594,106779.67088530859,1.28125,0.0,0.0,0.0,streamfunction_dz,0.014546248714181262,0.22440883938454995,0.11199225391060355,0.11241658547394645,-0.02696143266898083,-0.025275388889694328,-0.025275388889694328,3.973059470277679e-07,2.9165043921627154,-2.3971320599647332e-05
anticyclonic,0.5,0.5057600140571594,111988.43531873828,1.34375,0.0,0.0,0.0,streamfunction_dz,-0.03527351071280513,0.29115976342630273,0.15765987254507735,0.13349989088122535,-0.04211009536062777,-0.034902368340896384,-0.034902368340896384,-9.634357183156385e-07,3.058772899097482,-3.372936069926325e-05
anticyclonic,0.5,0.5057600140571594,117197.19975216797,1.40625,0.0,0.0,0.0,streamfunction_dz,-0.09793511149192008,0.35328895821464984,0.20345334715444577,0.14983561106020404,-0.05691929236805735,-0.0448119693410713,-0.0448119693410713,-2.67493035373673e-06,3.2010414060322487,-4.3232068233891074e-05
